emotion,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
sa,0.0,0.0079,0.01,0.0694,0.3611,0.2519,0.0,0.0,0.0,0.1466,0.1162,0.3053,0.3218,0.171,0.0156,0.0313,0.175,0.0231,0.0172,0.3614,0.1625,0.0065,0.0027,0.0,0.0015,0.0029,0.0,0.0016,0.0005,0.0008,0.0024,0.0023,0.0017,0.0042,0.0001,0.0,0.0095,0.0151,0.2239,0.0005,0.0085,0.0007,0.136,0.0783,0.0002,0.0002,0.0021,0.0016,0.0008,0.001,0.0,0.0
ha,0.0,0.0232,0.0502,0.0042,0.1826,0.1091,0.0003,0.0,0.0,0.2367,0.2125,0.1924,0.2123,0.0384,0.0584,0.101,0.0807,0.0481,0.0341,0.5199,0.3731,0.0045,0.0017,0.0005,0.0005,0.0152,0.0001,0.0022,0.0038,0.0016,0.0001,0.0001,0.0224,0.0023,0.0098,0.0234,0.0275,0.0213,0.1194,0.0006,0.0035,0.0026,0.0055,0.0165,0.6777,0.6637,0.002,0.0201,0.5701,0.6148,0.0,0.0
ne,0.0,0.0288,0.0598,0.0016,0.2496,0.0866,0.0,0.0,0.0,0.0348,0.0307,0.0327,0.0409,0.153,0.0167,0.0305,0.1523,0.1674,0.1717,0.3563,0.1426,0.0203,0.0072,0.0,0.0013,0.0078,0.0,0.0043,0.0008,0.001,0.0015,0.0019,0.0014,0.0014,0.0001,0.0,0.0117,0.0167,0.2295,0.0034,0.027,0.003,0.2619,0.1001,0.0001,0.0,0.0008,0.0016,0.0003,0.0005,0.0,0.0
fe,0.0,0.0003,0.001,0.3701,0.7727,0.4438,0.0,0.0,0.0,0.0022,0.0013,0.5816,0.5526,0.0481,0.0743,0.0628,0.0499,0.0065,0.0045,0.022,0.0091,0.1965,0.1625,0.0,0.0074,0.3058,0.0007,0.0093,0.0024,0.005,0.0001,0.0001,0.0333,0.0009,0.0032,0.0027,0.0067,0.0111,0.2088,0.008,0.0182,0.0125,0.0278,0.126,0.0001,0.0001,0.0001,0.0003,0.0136,0.0212,0.0,0.0
di,0.0,0.0824,0.0832,0.0003,0.1249,0.054,0.0,0.0,0.0,0.1002,0.0729,0.1459,0.1699,0.0244,0.0734,0.1163,0.0597,0.0568,0.0454,0.4617,0.2968,0.0108,0.0052,0.0,0.001,0.0048,0.0001,0.0006,0.0023,0.0005,0.001,0.0015,0.0112,0.0022,0.0002,0.0002,0.0045,0.0022,0.6447,0.0024,0.011,0.002,0.3676,0.5081,0.0,0.0,0.0004,0.0006,0.0247,0.0342,0.0,0.0
su,0.0,0.0148,0.0059,0.0055,0.3789,0.4445,0.0,0.0,0.0,0.0044,0.0031,0.2558,0.2582,0.1406,0.0194,0.0297,0.1405,0.0302,0.0184,0.0974,0.0105,0.1302,0.0473,0.0,0.0024,0.0169,0.0,0.0047,0.0012,0.002,0.0002,0.0002,0.0081,0.0045,0.0002,0.0002,0.0102,0.0139,0.2628,0.0012,0.0108,0.0044,0.0382,0.0936,0.0001,0.0001,0.0004,0.0005,0.0017,0.0025,0.0,0.0
ha,0.0,0.0007,0.0004,0.6231,0.5055,0.4318,0.0001,0.0,0.0,0.2424,0.2334,0.626,0.6338,0.0387,0.1084,0.1367,0.0665,0.0113,0.0076,0.4244,0.3277,0.0041,0.0034,0.0003,0.0001,0.0005,0.0,0.0002,0.0063,0.0133,0.0066,0.0066,0.0007,0.0006,0.0003,0.0004,0.0646,0.0684,0.0079,0.0039,0.0037,0.0014,0.1578,0.0319,0.9138,0.9227,0.1479,0.1876,0.1819,0.2756,0.0,0.0
fe,0.0,0.2431,0.1908,0.0101,0.0163,0.0174,0.0001,0.0,0.0,0.0053,0.0081,0.0837,0.0975,0.0038,0.2899,0.2732,0.0146,0.0892,0.088,0.2459,0.1927,0.0816,0.0398,0.0001,0.0006,0.1087,0.0009,0.0023,0.0002,0.0046,0.0109,0.0052,0.0069,0.0,0.0198,0.0142,0.0046,0.0091,0.0531,0.0166,0.0155,0.0051,0.0062,0.0454,0.0001,0.0001,0.0072,0.001,0.0017,0.0044,0.0,0.0
di,0.0,0.8107,0.8552,0.0001,0.0008,0.0004,0.0,0.0,0.0,0.2485,0.2595,0.357,0.3539,0.0034,0.2204,0.4526,0.0384,0.033,0.0203,0.6402,0.329,0.0036,0.0021,0.0001,0.0,0.0001,0.0003,0.0,0.0296,0.0111,0.0174,0.0352,0.0005,0.0005,0.0001,0.0001,0.0194,0.0204,0.0283,0.0021,0.0034,0.0001,0.7451,0.4445,0.0289,0.0588,0.0044,0.2088,0.1168,0.0939,0.0,0.0
su,0.0,0.0052,0.0036,0.1534,0.3002,0.2352,0.0,0.0,0.0,0.0092,0.0071,0.4982,0.481,0.0444,0.078,0.0783,0.0505,0.0116,0.0095,0.0985,0.0787,0.0439,0.0844,0.0,0.0002,0.0007,0.0,0.0001,0.006,0.0051,0.2039,0.2538,0.0001,0.0002,0.0001,0.0001,0.1171,0.0684,0.0009,0.0035,0.0062,0.0005,0.4759,0.1916,0.0325,0.0336,0.0737,0.091,0.029,0.049,0.0,0.0
an,0.0,0.5472,0.8112,0.0002,0.0032,0.0003,0.0,0.0,0.0,0.1492,0.156,0.3489,0.3181,0.0043,0.0881,0.4506,0.0852,0.0246,0.0153,0.5502,0.4785,0.0054,0.0026,0.0001,0.0,0.0005,0.0001,0.0001,0.0003,0.0156,0.2211,0.1937,0.0004,0.0,0.0003,0.0001,0.0053,0.0317,0.0161,0.0758,0.0031,0.0002,0.219,0.1886,0.0064,0.0225,0.0379,0.0981,0.0344,0.1561,0.0,0.0
sa,0.0,0.0037,0.0026,0.4739,0.3131,0.1874,0.0,0.0,0.0,0.2044,0.1443,0.3322,0.3027,0.0357,0.0712,0.1076,0.0684,0.024,0.0167,0.3729,0.3091,0.0028,0.0024,0.0001,0.0002,0.0058,0.0001,0.004,0.0005,0.004,0.0051,0.0039,0.0005,0.0003,0.0002,0.0001,0.0415,0.0592,0.0055,0.005,0.0049,0.0014,0.021,0.0205,0.0158,0.0272,0.03,0.0295,0.0005,0.0014,0.0,0.0
ha,0.0,0.0005,0.0002,0.5981,0.5779,0.5316,0.0,0.0,0.0,0.3972,0.3105,0.4789,0.4834,0.0133,0.1983,0.224,0.0343,0.0167,0.0142,0.3723,0.4191,0.0016,0.0017,0.0001,0.0002,0.0006,0.0,0.0003,0.0006,0.002,0.0023,0.0017,0.0016,0.0031,0.0002,0.0001,0.0075,0.0113,0.0653,0.0005,0.0013,0.0004,0.0337,0.0395,0.6948,0.7112,0.0454,0.0236,0.0378,0.0674,0.0,0.0
ne,0.0,0.0064,0.0028,0.2506,0.3029,0.2725,0.0,0.0,0.0,0.1167,0.0445,0.1835,0.1917,0.019,0.1376,0.159,0.0361,0.0383,0.0392,0.2875,0.216,0.0057,0.0101,0.0,0.0006,0.0085,0.0002,0.0052,0.0043,0.0004,0.0001,0.0001,0.0056,0.0101,0.0001,0.0002,0.0112,0.0021,0.5187,0.0008,0.0064,0.0033,0.0149,0.0209,0.0001,0.0,0.0005,0.0007,0.0001,0.0001,0.0,0.0
di,0.0,0.13,0.1319,0.0251,0.0493,0.0441,0.0,0.0,0.0,0.3572,0.0905,0.5251,0.4244,0.2182,0.001,0.0551,0.7293,0.0058,0.0124,0.2631,0.3756,0.003,0.0052,0.0,0.0091,0.0211,0.0,0.0116,0.0144,0.0002,0.0,0.0,0.0642,0.0321,0.0002,0.0003,0.0022,0.0004,0.9601,0.0003,0.002,0.0043,0.0021,0.0036,0.0001,0.0,0.0002,0.0002,0.0002,0.0001,0.0,0.0
su,0.0,0.0003,0.0003,0.5415,0.7878,0.6067,0.0,0.0,0.0,0.0181,0.0062,0.3218,0.309,0.0599,0.0584,0.0716,0.0731,0.021,0.0214,0.0995,0.0578,0.0365,0.073,0.0,0.001,0.0479,0.0007,0.0333,0.0006,0.001,0.0001,0.0001,0.0097,0.003,0.0002,0.0001,0.0013,0.0035,0.8887,0.0067,0.0299,0.012,0.0442,0.0262,0.0,0.0,0.0001,0.0002,0.0001,0.0002,0.0,0.0
sa,0.0,0.018,0.006,0.1558,0.0979,0.1606,0.0,0.0,0.0,0.0939,0.0971,0.2245,0.2384,0.0204,0.1316,0.136,0.0335,0.0346,0.0263,0.3669,0.1893,0.0051,0.0043,0.0,0.0011,0.006,0.0,0.0034,0.0023,0.0016,0.0008,0.0007,0.0007,0.0028,0.0001,0.0001,0.0521,0.0232,0.02,0.0006,0.0123,0.0062,0.0439,0.0108,0.0003,0.0002,0.0022,0.0012,0.0001,0.0001,0.0,0.0
ha,0.0,0.3434,0.1888,0.0009,0.0099,0.017,0.0009,0.0,0.0,0.1484,0.1367,0.1984,0.209,0.0556,0.0724,0.0824,0.07,0.0478,0.037,0.5289,0.403,0.0061,0.0038,0.002,0.0009,0.0961,0.0002,0.0073,0.0042,0.0109,0.0004,0.0004,0.005,0.0005,0.0613,0.0978,0.0791,0.1041,0.0028,0.0011,0.0113,0.061,0.0033,0.0082,0.794,0.7978,0.0325,0.0723,0.4219,0.4722,0.0,0.0
ne,0.0,0.0614,0.0209,0.0105,0.0984,0.1278,0.0,0.0,0.0,0.0992,0.0811,0.0944,0.1134,0.0163,0.1618,0.157,0.0242,0.0822,0.0734,0.426,0.2277,0.0055,0.0041,0.0,0.0014,0.0195,0.0001,0.0106,0.0011,0.0039,0.0006,0.0005,0.0005,0.0015,0.0002,0.0001,0.0361,0.0417,0.0358,0.0011,0.0445,0.0293,0.0428,0.004,0.0,0.0,0.0006,0.0006,0.0,0.0,0.0,0.0
fe,0.0,0.0051,0.0023,0.0393,0.3816,0.3448,0.0,0.0,0.0,0.0067,0.0064,0.2281,0.2384,0.0822,0.055,0.0442,0.076,0.0358,0.0343,0.0674,0.038,0.0655,0.0503,0.0,0.0049,0.0146,0.0,0.0052,0.001,0.0017,0.0023,0.002,0.0003,0.0049,0.0001,0.0001,0.0281,0.0316,0.041,0.0004,0.0842,0.0354,0.1636,0.0136,0.0,0.0,0.0014,0.0004,0.0,0.0,0.0,0.0
su,0.0,0.0018,0.0009,0.0517,0.6397,0.4853,0.0,0.0,0.0,0.0096,0.0072,0.1393,0.1609,0.0263,0.1354,0.1375,0.0242,0.0554,0.0528,0.1039,0.0507,0.0479,0.0465,0.0,0.004,0.0922,0.0002,0.0406,0.0008,0.0026,0.0001,0.0001,0.0058,0.0019,0.001,0.0007,0.0072,0.0107,0.2242,0.0025,0.0224,0.0462,0.0067,0.0095,0.0,0.0,0.0002,0.0002,0.0001,0.0001,0.0,0.0
ha,0.0,0.1402,0.1363,0.0308,0.0199,0.0147,0.0005,0.0,0.0,0.195,0.1929,0.184,0.2107,0.0517,0.1156,0.1086,0.0503,0.0702,0.0651,0.5647,0.5895,0.0052,0.005,0.0029,0.0016,0.019,0.0,0.0019,0.0078,0.0302,0.0009,0.0007,0.0133,0.0013,0.0474,0.0981,0.159,0.238,0.0039,0.0006,0.0036,0.014,0.0054,0.0089,0.961,0.9679,0.3499,0.3253,0.8055,0.8586,0.0,0.0
ne,0.0,0.115,0.1471,0.0178,0.0186,0.0087,0.0,0.0,0.0,0.0967,0.0565,0.0324,0.0237,0.0891,0.044,0.0355,0.0954,0.2522,0.2578,0.3643,0.3461,0.0067,0.0047,0.0001,0.0011,0.0055,0.0,0.0019,0.0011,0.0016,0.0263,0.0287,0.0006,0.0007,0.0004,0.0004,0.0286,0.0404,0.0209,0.0007,0.0222,0.0023,0.0319,0.0128,0.0005,0.0005,0.006,0.0101,0.0001,0.0001,0.0,0.0
fe,0.0,0.0025,0.001,0.5427,0.193,0.1647,0.0001,0.0,0.0,0.0302,0.0154,0.1187,0.1267,0.0512,0.0693,0.0513,0.0494,0.0668,0.0747,0.2705,0.175,0.0193,0.0254,0.0001,0.0224,0.4148,0.0002,0.0063,0.0008,0.004,0.0072,0.0045,0.0115,0.0004,0.0119,0.0096,0.0038,0.0069,0.0526,0.0007,0.012,0.0085,0.006,0.0297,0.0001,0.0001,0.0058,0.0008,0.0014,0.0021,0.0,0.0
su,0.0,0.0002,0.0001,0.6768,0.7037,0.5991,0.0,0.0,0.0,0.0068,0.0019,0.2422,0.2393,0.0824,0.0795,0.0453,0.0392,0.0343,0.0316,0.07,0.0362,0.0714,0.1852,0.0,0.0072,0.3746,0.001,0.0131,0.0012,0.0017,0.0012,0.0013,0.0119,0.0021,0.0033,0.0034,0.0044,0.0066,0.182,0.0006,0.018,0.0174,0.0159,0.0257,0.0,0.0,0.0004,0.0005,0.0006,0.0006,0.0,0.0
an,0.0,0.3257,0.3508,0.0015,0.0057,0.0026,0.0,0.0,0.0,0.1028,0.0649,0.0193,0.0173,0.0628,0.0543,0.0558,0.0654,0.3358,0.3522,0.4555,0.4371,0.0055,0.0038,0.0001,0.0015,0.0087,0.0,0.0032,0.0014,0.0019,0.017,0.0245,0.0012,0.0007,0.0006,0.0005,0.0164,0.0558,0.0553,0.0006,0.0422,0.0043,0.0472,0.0166,0.0001,0.0002,0.0012,0.0138,0.0,0.0,0.0,0.0
ha,0.0,0.0091,0.0115,0.034,0.2151,0.0925,0.0,0.0,0.0,0.0404,0.0348,0.027,0.026,0.0723,0.0507,0.0433,0.0795,0.3102,0.2778,0.5345,0.2653,0.0175,0.0095,0.0002,0.0001,0.0006,0.0,0.0002,0.0032,0.016,0.0021,0.002,0.001,0.0001,0.0005,0.0004,0.0309,0.0932,0.0085,0.0067,0.0022,0.0002,0.0153,0.0211,0.1204,0.2531,0.0178,0.0684,0.0003,0.0008,0.0,0.0
ne,0.0,0.0075,0.0063,0.052,0.2479,0.1783,0.0,0.0,0.0,0.0215,0.011,0.0826,0.0878,0.0691,0.0586,0.0466,0.0574,0.096,0.102,0.2189,0.0661,0.0253,0.04,0.0,0.0022,0.0042,0.0,0.0007,0.0017,0.001,0.0014,0.0015,0.0019,0.001,0.0003,0.0003,0.0098,0.0084,0.339,0.0025,0.03,0.004,0.0729,0.029,0.0,0.0,0.0005,0.0005,0.0001,0.0001,0.0,0.0
fe,0.0,0.0001,0.0001,0.4391,0.7865,0.7057,0.0,0.0,0.0,0.0015,0.0008,0.2772,0.2735,0.0351,0.1151,0.0986,0.027,0.0309,0.0286,0.0208,0.0129,0.2447,0.351,0.0001,0.0128,0.4759,0.0017,0.0041,0.0019,0.0024,0.0027,0.0043,0.0105,0.0016,0.0197,0.0208,0.0045,0.019,0.1106,0.0005,0.0328,0.0134,0.0326,0.0515,0.0,0.0,0.0001,0.0021,0.0012,0.0016,0.0,0.0
di,0.0,0.2325,0.2279,0.0002,0.025,0.0159,0.0,0.0,0.0,0.1431,0.1288,0.0763,0.0819,0.0042,0.3505,0.3296,0.0157,0.1391,0.1378,0.6715,0.6169,0.0048,0.003,0.0,0.0005,0.0065,0.0001,0.0009,0.0001,0.0012,0.0217,0.0211,0.0054,0.0002,0.0007,0.0005,0.0013,0.0064,0.6005,0.0042,0.0137,0.0009,0.0733,0.0807,0.0,0.0,0.0017,0.0046,0.0005,0.0016,0.0,0.0
su,0.0,0.0003,0.0017,0.1064,0.7664,0.3449,0.0,0.0,0.0,0.0025,0.0012,0.1488,0.152,0.0709,0.0591,0.0455,0.0557,0.0517,0.0545,0.0284,0.0093,0.1898,0.2222,0.0001,0.0031,0.441,0.0026,0.0083,0.0064,0.0014,0.0,0.0001,0.0406,0.001,0.0072,0.0123,0.005,0.0037,0.4819,0.0041,0.0087,0.0147,0.0053,0.0226,0.0,0.0,0.0001,0.0006,0.0013,0.0013,0.0,0.0
an,0.0,0.0294,0.2388,0.0011,0.0835,0.0106,0.0,0.0,0.0,0.0465,0.0976,0.0165,0.0179,0.0345,0.0672,0.0907,0.0606,0.3731,0.3592,0.4717,0.4396,0.0111,0.0066,0.0,0.0067,0.0236,0.0001,0.0056,0.0117,0.0029,0.0,0.0,0.0094,0.0124,0.0002,0.0003,0.0071,0.0068,0.9118,0.0011,0.1748,0.1269,0.0482,0.0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ha,0.0,0.0664,0.0448,0.0474,0.0411,0.0501,0.0005,0.0,0.0,0.2617,0.1754,0.2805,0.2813,0.2602,0.0212,0.0191,0.2478,0.0455,0.0404,0.4189,0.4161,0.0041,0.0044,0.0021,0.0021,0.2468,0.0002,0.0147,0.0035,0.0018,0.0002,0.0002,0.0449,0.005,0.0626,0.1505,0.0349,0.0273,0.0265,0.0001,0.0015,0.0085,0.0007,0.0024,0.8977,0.8598,0.1003,0.1561,0.5212,0.4245,0.0,0.0
fe,0.0,0.0005,0.0007,0.3753,0.7406,0.4902,0.0,0.0,0.0,0.0256,0.0084,0.2902,0.2848,0.0759,0.0906,0.0606,0.0385,0.0279,0.0313,0.0895,0.1211,0.0325,0.0992,0.0001,0.0023,0.1314,0.0002,0.0912,0.0011,0.0007,0.0001,0.0,0.0975,0.0215,0.0013,0.0008,0.0007,0.0006,0.8512,0.0002,0.0017,0.0027,0.0003,0.0009,0.0002,0.0001,0.0023,0.0002,0.0002,0.0001,0.0,0.0
di,0.0,0.5065,0.6023,0.0001,0.0054,0.0033,0.0001,0.0,0.0,0.3061,0.2437,0.2086,0.2213,0.0052,0.5712,0.5721,0.0057,0.0524,0.0498,0.7568,0.5127,0.002,0.002,0.0002,0.0001,0.0042,0.0006,0.0012,0.0074,0.0015,0.0004,0.0003,0.0016,0.0098,0.0004,0.0008,0.0386,0.0115,0.0202,0.0001,0.0058,0.0028,0.0092,0.0107,0.869,0.7606,0.0244,0.0258,0.0028,0.0023,0.0,0.0
an,0.0,0.5955,0.6293,0.0001,0.0044,0.0015,0.0,0.0,0.0,0.1185,0.0555,0.0312,0.0265,0.0659,0.0552,0.0552,0.077,0.2518,0.2712,0.3393,0.247,0.0059,0.0051,0.0001,0.0014,0.0781,0.0002,0.0545,0.0002,0.0016,0.005,0.0055,0.0157,0.0023,0.0007,0.0003,0.0009,0.0091,0.8176,0.0007,0.0231,0.0035,0.025,0.0203,0.0,0.0,0.0006,0.003,0.0,0.0001,0.0,0.0
sa,0.0,0.457,0.4458,0.0022,0.0028,0.0032,0.0,0.0,0.0,0.1184,0.0659,0.07,0.0782,0.1277,0.0195,0.0418,0.1686,0.1244,0.1222,0.4698,0.2502,0.0063,0.0041,0.0001,0.0044,0.0112,0.0,0.005,0.0004,0.001,0.0057,0.0079,0.002,0.0011,0.0005,0.0004,0.0072,0.0246,0.1008,0.0005,0.0109,0.0051,0.0117,0.0074,0.0001,0.0001,0.0011,0.0138,0.0,0.0,0.0,0.0
ha,0.0,0.2101,0.1621,0.0137,0.0119,0.0093,0.0,0.0,0.0,0.2345,0.1745,0.2642,0.275,0.0992,0.0332,0.0531,0.1182,0.0355,0.0302,0.5424,0.4507,0.0028,0.002,0.0001,0.0007,0.0047,0.0,0.0025,0.003,0.0081,0.0,0.0,0.0029,0.0007,0.0002,0.0002,0.0278,0.0301,0.0364,0.003,0.0017,0.0042,0.0016,0.0021,0.4307,0.4926,0.0046,0.0077,0.0,0.0001,0.0,0.0
ne,0.0,0.3272,0.3692,0.0086,0.0066,0.0044,0.0,0.0,0.0,0.1688,0.1443,0.4054,0.3743,0.0378,0.0753,0.0984,0.0539,0.0187,0.0134,0.2961,0.1556,0.0058,0.002,0.0,0.0009,0.0109,0.0001,0.0033,0.0006,0.0017,0.0003,0.0004,0.0012,0.0018,0.0002,0.0002,0.0061,0.0163,0.1627,0.0012,0.0206,0.0106,0.0177,0.0066,0.0,0.0,0.0002,0.001,0.0,0.0,0.0,0.0
su,0.0,0.0002,0.0001,0.7649,0.7104,0.5953,0.0,0.0,0.0,0.0685,0.018,0.3474,0.3399,0.4943,0.0047,0.0064,0.4978,0.0241,0.0215,0.2589,0.0551,0.0165,0.0287,0.0001,0.0085,0.0993,0.0001,0.0316,0.0006,0.0005,0.0001,0.0002,0.0108,0.0035,0.0006,0.0005,0.001,0.0049,0.4341,0.0008,0.0047,0.022,0.0025,0.0056,0.0,0.0,0.0001,0.0014,0.0001,0.0001,0.0,0.0
ha,0.0,0.001,0.001,0.156,0.677,0.5598,0.0004,0.0,0.0,0.0367,0.0419,0.1151,0.1343,0.0501,0.075,0.0885,0.0685,0.0799,0.0592,0.2887,0.0853,0.025,0.0177,0.0007,0.0007,0.0502,0.0001,0.0034,0.0107,0.0112,0.0,0.0,0.02,0.0022,0.015,0.023,0.0567,0.0788,0.0231,0.0025,0.0018,0.0124,0.0012,0.0145,0.8358,0.871,0.0033,0.0208,0.1196,0.1088,0.0,0.0
ne,0.0,0.0002,0.0002,0.4299,0.832,0.7332,0.0,0.0,0.0,0.0346,0.0331,0.2185,0.2273,0.0467,0.0761,0.0831,0.0582,0.0365,0.0321,0.1524,0.0719,0.0205,0.0151,0.0,0.0019,0.007,0.0001,0.0024,0.0011,0.0011,0.0001,0.0001,0.0072,0.0071,0.0002,0.0002,0.003,0.0041,0.6287,0.0009,0.0051,0.0053,0.011,0.0144,0.0,0.0,0.0002,0.0003,0.0001,0.0001,0.0,0.0
fe,0.0,0.0001,0.0003,0.3549,0.8212,0.7117,0.0,0.0,0.0,0.0017,0.0013,0.4051,0.3804,0.029,0.12,0.1187,0.0346,0.0212,0.0133,0.0153,0.0062,0.3137,0.1965,0.0001,0.1004,0.6182,0.0004,0.0066,0.0108,0.0177,0.0,0.0,0.0746,0.0166,0.0082,0.0084,0.0021,0.0051,0.5473,0.0003,0.0039,0.0187,0.0022,0.008,0.0,0.0,0.0,0.0001,0.0004,0.0004,0.0,0.0
su,0.0,0.0003,0.0005,0.2123,0.8356,0.6287,0.0,0.0,0.0,0.0054,0.0032,0.3155,0.3011,0.0315,0.1466,0.1439,0.0231,0.028,0.0191,0.0373,0.011,0.1366,0.1238,0.0001,0.0376,0.6415,0.0012,0.0062,0.1036,0.0376,0.0,0.0,0.2122,0.0187,0.0028,0.0043,0.0009,0.0022,0.8665,0.0008,0.0037,0.0236,0.0014,0.0041,0.0,0.0,0.0,0.0001,0.0002,0.0002,0.0,0.0
