emotion,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
sa,0.0,0.0572,0.0245,0.0922,0.0426,0.0691,0.0,0.0,0.0,0.1675,0.1007,0.0616,0.0637,0.0363,0.0969,0.1013,0.0511,0.1354,0.1672,0.3898,0.4474,0.0037,0.0065,0.0,0.0149,0.0765,0.0,0.027,0.0009,0.0009,0.0024,0.0032,0.0001,0.0068,0.0003,0.0001,0.0365,0.0413,0.0226,0.0001,0.5333,0.533,0.1081,0.0017,0.0,0.0,0.0008,0.0006,0.0,0.0,0.0,0.0
sa,0.0,0.0016,0.0009,0.6388,0.4895,0.4688,0.0,0.0,0.0,0.0798,0.0543,0.6364,0.6224,0.385,0.0046,0.0096,0.3995,0.0071,0.0047,0.0506,0.0359,0.0193,0.0269,0.0,0.0005,0.0015,0.0001,0.0001,0.0716,0.0073,0.0002,0.0006,0.0002,0.0006,0.0,0.0,0.1144,0.0791,0.021,0.0188,0.023,0.0124,0.9308,0.5698,0.0013,0.0008,0.0001,0.0017,0.0118,0.0059,0.0,0.0
an,0.0,0.0086,0.0043,0.0103,0.2494,0.2788,0.0009,0.0,0.0,0.0741,0.0769,0.2841,0.2885,0.0499,0.0467,0.0676,0.0799,0.0372,0.0229,0.5597,0.3125,0.0139,0.0078,0.0014,0.0012,0.0236,0.0001,0.0011,0.0049,0.0182,0.0145,0.0139,0.0009,0.0004,0.1802,0.204,0.1272,0.3925,0.0004,0.0004,0.0556,0.0238,0.0428,0.0555,0.0842,0.1494,0.0248,0.1047,0.5901,0.795,0.0,0.0
an,0.0,0.0571,0.0529,0.001,0.1341,0.0794,0.0003,0.0,0.0,0.0852,0.0552,0.0187,0.0166,0.1803,0.0154,0.0278,0.1771,0.369,0.376,0.4751,0.2641,0.0118,0.0045,0.0007,0.809,0.2469,0.0,0.003,0.0006,0.0467,0.2086,0.2036,0.0026,0.0016,0.164,0.1283,0.0021,0.0774,0.006,0.0,0.0091,0.0072,0.0483,0.075,0.0005,0.0017,0.0006,0.0317,0.1731,0.3635,0.0,0.0
an,0.0,0.2334,0.251,0.0001,0.0121,0.0082,0.0015,0.0,0.0,0.4167,0.3362,0.129,0.1331,0.0178,0.1991,0.1872,0.0248,0.1239,0.1274,0.8027,0.6439,0.0018,0.0013,0.0028,0.0028,0.5718,0.03,0.0003,0.1045,0.2052,0.0006,0.0006,0.0244,0.0004,0.9225,0.9274,0.0175,0.0175,0.0116,0.0006,0.0013,0.0079,0.0008,0.0335,0.0102,0.0099,0.002,0.0015,0.0572,0.0727,0.0,0.0
an,0.0,0.0006,0.0004,0.1267,0.7083,0.5371,0.0015,0.0,0.0,0.0709,0.0445,0.2826,0.2928,0.0362,0.312,0.2251,0.0058,0.0498,0.0418,0.3491,0.2659,0.0174,0.0424,0.0027,0.0002,0.4003,0.0729,0.0002,0.0463,0.0555,0.0018,0.002,0.0464,0.0002,0.9334,0.9475,0.0191,0.0311,0.0316,0.0016,0.0021,0.0029,0.0015,0.0404,0.2587,0.3278,0.0152,0.0225,0.4396,0.5026,0.0,0.0
an,0.0,0.048,0.0275,0.0132,0.096,0.0631,0.0014,0.0,0.0,0.0547,0.0537,0.1925,0.1727,0.1417,0.0332,0.0362,0.1559,0.0858,0.0861,0.2488,0.271,0.0211,0.0235,0.0024,0.0074,0.6556,0.0083,0.0004,0.336,0.5446,0.0004,0.0005,0.1515,0.0003,0.6941,0.7689,0.0098,0.0205,0.0308,0.0008,0.0014,0.0048,0.0012,0.0452,0.1844,0.313,0.0007,0.0031,0.1137,0.1525,0.0,0.0
an,0.0,0.8022,0.7897,0.0001,0.0008,0.0008,0.0049,0.0,0.0,0.5183,0.5816,0.1963,0.2342,0.0244,0.1819,0.1897,0.0401,0.1025,0.1011,0.8253,0.7738,0.0012,0.0005,0.0049,0.0082,0.522,0.0043,0.0003,0.0353,0.0621,0.0475,0.0625,0.0231,0.0,0.9122,0.9271,0.0056,0.0073,0.0069,0.0009,0.0023,0.0047,0.0015,0.0214,0.6683,0.739,0.0282,0.0819,0.4413,0.5283,0.0,0.0
an,0.0,0.7892,0.7443,0.0,0.0003,0.0011,0.0025,0.0,0.0,0.1287,0.1371,0.059,0.0711,0.011,0.2047,0.2233,0.0303,0.2425,0.199,0.8076,0.6131,0.0056,0.0032,0.0042,0.015,0.133,0.0002,0.001,0.0092,0.0152,0.0103,0.0082,0.0027,0.0006,0.548,0.6502,0.0152,0.0315,0.0017,0.0001,0.0112,0.0279,0.0063,0.0383,0.2639,0.2344,0.0499,0.0276,0.6266,0.6936,0.0,0.0
an,0.0,0.0031,0.0032,0.0328,0.618,0.4914,0.0,0.0,0.0,0.4078,0.2216,0.5089,0.4987,0.038,0.0711,0.1215,0.0757,0.0161,0.0136,0.2922,0.2958,0.0026,0.0033,0.0,0.0001,0.0,0.0,0.0,0.0036,0.009,0.0031,0.0024,0.0003,0.002,0.0001,0.0,0.0136,0.0213,0.0347,0.001,0.0002,0.0,0.611,0.3567,0.0394,0.0359,0.0144,0.003,0.2986,0.3686,0.0,0.0
ne,0.0,0.0008,0.0013,0.4118,0.6475,0.3547,0.0,0.0,0.0,0.0979,0.0539,0.067,0.0607,0.0659,0.0559,0.0602,0.0659,0.1093,0.1213,0.2365,0.1674,0.0058,0.0066,0.0001,0.0004,0.01,0.0001,0.0049,0.0023,0.0075,0.0,0.0,0.0071,0.0004,0.0009,0.0008,0.0295,0.0339,0.0406,0.0084,0.0013,0.0013,0.0011,0.0134,0.0165,0.0295,0.0031,0.0049,0.0003,0.0006,0.0,0.0
ne,0.0,0.0055,0.0107,0.0546,0.1606,0.0764,0.0,0.0,0.0,0.1115,0.0918,0.138,0.1389,0.0229,0.1118,0.1212,0.0363,0.0756,0.0669,0.3633,0.2223,0.0104,0.0059,0.0,0.0002,0.0008,0.0,0.0001,0.0124,0.0076,0.0011,0.0024,0.0002,0.0007,0.0002,0.0002,0.071,0.1241,0.0037,0.0016,0.0094,0.0012,0.1675,0.0508,0.0015,0.0019,0.0005,0.0092,0.001,0.0014,0.0,0.0
ne,0.0,0.0059,0.0058,0.0674,0.3788,0.2523,0.0,0.0,0.0,0.1599,0.1046,0.0976,0.1141,0.0269,0.1092,0.133,0.0389,0.0708,0.0779,0.2887,0.2158,0.0043,0.0048,0.0,0.0053,0.0681,0.0002,0.045,0.0212,0.0014,0.0,0.0,0.0031,0.0129,0.0003,0.0003,0.0239,0.0095,0.4979,0.0009,0.0691,0.1457,0.0114,0.0017,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0
sa,0.0,0.1209,0.1092,0.0802,0.0141,0.0125,0.0,0.0,0.0,0.0689,0.0442,0.1049,0.1173,0.0169,0.1195,0.1551,0.0476,0.0896,0.0851,0.3246,0.1793,0.01,0.0169,0.0,0.0002,0.0157,0.0004,0.0012,0.0003,0.0047,0.0112,0.0199,0.0006,0.0003,0.0002,0.0001,0.0006,0.0148,0.2748,0.0104,0.1645,0.013,0.8487,0.4419,0.0,0.0,0.0001,0.0062,0.0013,0.0056,0.0,0.0
sa,0.0,0.4325,0.4673,0.021,0.0016,0.0007,0.0,0.0,0.0,0.1315,0.0875,0.0476,0.0422,0.0097,0.1923,0.2134,0.0274,0.1714,0.1932,0.46,0.4568,0.0044,0.0042,0.0,0.0008,0.0147,0.0001,0.0017,0.0016,0.0007,0.0859,0.1246,0.0006,0.0015,0.0002,0.0002,0.0086,0.0111,0.0893,0.0006,0.1373,0.0177,0.4808,0.1121,0.0,0.0,0.0009,0.0054,0.0004,0.0006,0.0,0.0
an,0.0,0.2652,0.2986,0.0001,0.0144,0.0068,0.0,0.0,0.0,0.0667,0.0581,0.0187,0.0178,0.044,0.0633,0.0779,0.0578,0.3495,0.3368,0.5586,0.5126,0.0082,0.0052,0.0,0.0009,0.0131,0.0001,0.0036,0.0013,0.008,0.0001,0.0001,0.0016,0.0007,0.0005,0.0003,0.0118,0.0704,0.0856,0.0037,0.0299,0.0265,0.0333,0.0076,0.0,0.0,0.0001,0.0007,0.0,0.0001,0.0,0.0
an,0.0,0.56,0.6549,0.0,0.0021,0.0015,0.0025,0.0,0.0,0.1332,0.153,0.0328,0.0403,0.0181,0.207,0.2053,0.0355,0.3929,0.3877,0.7013,0.6224,0.0064,0.0047,0.002,0.0074,0.6459,0.009,0.0033,0.0645,0.0887,0.0005,0.0005,0.0253,0.0001,0.4281,0.5227,0.0136,0.0198,0.0061,0.0021,0.001,0.026,0.0008,0.0125,0.659,0.7007,0.002,0.0057,0.0199,0.0313,0.0,0.0
an,0.0,0.3526,0.4661,0.0002,0.0041,0.002,0.0001,0.0,0.0,0.12,0.0861,0.0512,0.0466,0.0085,0.2285,0.2259,0.0139,0.1536,0.1503,0.4921,0.4026,0.0049,0.0027,0.0003,0.0019,0.1334,0.0002,0.0052,0.0044,0.0115,0.0001,0.0,0.0181,0.0015,0.0197,0.0172,0.0282,0.046,0.0091,0.0007,0.0044,0.0117,0.0021,0.0502,0.0025,0.0026,0.0008,0.0005,0.0124,0.0229,0.0,0.0
ne,0.0,0.0259,0.0143,0.0242,0.1134,0.1126,0.0,0.0,0.0,0.1001,0.0482,0.1075,0.1086,0.0214,0.1691,0.1591,0.0199,0.0783,0.0729,0.3204,0.1614,0.0084,0.008,0.0001,0.0002,0.0002,0.0,0.0001,0.002,0.0024,0.0007,0.0009,0.0029,0.0015,0.0002,0.0002,0.0172,0.0236,0.0929,0.0013,0.0003,0.0001,0.0159,0.0956,0.0381,0.0518,0.0094,0.0241,0.0047,0.0081,0.0,0.0
sa,0.0,0.0025,0.0011,0.344,0.4348,0.6029,0.0,0.0,0.0,0.0702,0.0456,0.2534,0.2611,0.0481,0.0679,0.0782,0.0555,0.0254,0.0234,0.2693,0.1875,0.0125,0.0111,0.0,0.0082,0.0077,0.0,0.0028,0.0047,0.0004,0.0001,0.0001,0.0014,0.0051,0.0001,0.0001,0.0205,0.0029,0.6044,0.0017,0.0251,0.0115,0.0719,0.0162,0.0,0.0,0.0003,0.0002,0.0001,0.0,0.0,0.0
ha,0.0,0.0025,0.0052,0.3205,0.3851,0.2462,0.0,0.0,0.0,0.083,0.0298,0.552,0.5346,0.0489,0.1185,0.1022,0.0361,0.0079,0.0095,0.1326,0.1399,0.0127,0.0251,0.0001,0.0001,0.0008,0.0,0.0003,0.0177,0.0052,0.0001,0.0001,0.0014,0.0022,0.0002,0.0004,0.1474,0.0833,0.0263,0.0022,0.0031,0.0025,0.0366,0.0214,0.8624,0.844,0.0052,0.0379,0.0217,0.0225,0.0,0.0
